MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,4505151989334XL,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,450515198933M,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,450515198933L,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,450515198933XL,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,450515198933XXL,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,450515198933XXXL,COL,Veste retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451515198933XS,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451515198933S,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,4515151989334XL,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451515198933M,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451515198933L,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451515198933XL,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451515198933XXL,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451515198933XXXL,COL,Veste hiver retardant flamme Inhérent Steel Marine/Jaune fluo,FABDIS,Marine/Jaune fluo,COLORM,,,1,1
BLAKLADER,451715343389XS,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,451715343389S,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,4517153433894XL,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,451715343389M,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,451715343389L,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,451715343389XL,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,451715343389XXL,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,451715343389XXXL,COL,Veste hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,452715343389XS,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,452715343389S,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,4527153433894XL,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,452715343389M,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,452715343389L,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,452715343389XL,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,452715343389XXL,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,452715343389XXXL,COL,Parka hiver multinormes Jaune fluo/Marine,FABDIS,Jaune fluo/Marine,COLORM,,,1,1
BLAKLADER,463010714598XS,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010714598S,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,4630107145984XL,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010714598M,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010714598L,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010714598XL,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010714598XXL,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010714598XXXL,COL,Sweat col camionneur en laine Vert olive foncé/Gris foncé,FABDIS,Vert olive foncé/Gris foncé,COLORM,,,1,1
BLAKLADER,463010718698XS,COL,Sweat col camionneur en laine Marine foncé/Gris foncé,FABDIS,Marine foncé/Gris foncé,COLORM,,,1,1
